,source_language,split,target_language
0,i am very interested in music .,train,je suis trã¨s intã©ressã© par la musique.
1,he is still alive .,train,il est encore vivant.
2,he is washing the car .,train,il est en train de laver la voiture.
3,she is afraid of cats .,train,elle a peur des chats.
4,she is unconscious .,train,elle est inconsciente.
5,she is often late for school on mondays .,train,elle arrive souvent en retard ã  l'ã©cole le lundi.
6,i am used to staying up late at night .,train,je suis habituã© ã  veiller tard le soir.
7,we are not americans .,train,nous ne sommes pas des ã‰tasuniens.
8,he is very learned .,train,il est fort ã©rudit.
9,they are alone .,train,ils sont seuls.
10,i am confronted with a difficult problem .,train,je suis confrontã© ã  un problã¨me difficile.
11,i am fixing the washing machine .,train,je rã©pare le lave-linge.
12,i am afraid of what the teacher will say .,train,j'ai peur de ce que l'instituteur dira.
13,you are my hero .,train,tu es mon hã©roã¯ne.
14,they are seeing their uncle tomorrow .,train,ils voient leur oncle demain.
15,they are all dead .,train,ils sont tous morts.
16,she is no match for me .,train,elle ne fait pas le poids avec moi.
17,you are as white as a sheet .,train,vous ãªtes blanc comme un drap.
18,he is tired from overwork .,train,il est fatiguã© ã  cause du surmenage.
19,she is engaged to a rich man .,train,elle est fiancã©e ã  un homme riche.
20,you are right in a way .,train,"en un sens, tu as raison."
21,he is running short of funds .,train,il est ã  court de fonds.
22,we are familiar with that author 's name .,train,le nom de l'auteur nous est familier.
23,i am ready to do anything for you .,train,je suis prãªte ã  tout faire pour vous.
24,he is unrealistic .,train,il est irrã©aliste.
25,we are badly in want of water .,train,on a vraiment besoin d'eau.
26,i am looking forward to seeing you again .,train,je suis impatient de te revoir.
27,you are the chosen one .,train,tu es l'ã©lue.
28,i am dumbfounded .,train,je suis sidã©rã©.
29,she is hard up for money .,train,elle est fauchã©e.
30,i am tired and i want to go to bed .,train,je suis fatiguã© et je veux aller dormir.
31,he is good at rugby .,train,il est fort au rugby.
32,he is likely to come .,train,il va probablement venir.
33,he is said to have died here .,train,on dit qu'il est mort ici.
34,he is earning twice my salary .,train,il gagne deux fois mon salaire.
35,i am like my mother .,train,je suis comme ma mã¨re.
36,he is not as intelligent as his older brother .,train,il n'est pas aussi intelligent que son frã¨re ainã©.
37,he is my close friend .,train,c'est mon ami intime.
38,he is less impatient than his father .,train,il est moins impatient que son pã¨re.
39,he is not as lazy a student as you think .,train,ce n'est pas un ã©tudiant aussi paresseux que vous le pensez.
40,he is used to speaking in public .,train,il a l'habitude de parler en public.
41,you are a teacher .,train,tu es enseignant.
42,she is anxious to visit europe .,train,elle est dã©sireuse de visiter l'europe.
43,she is used to living alone .,train,elle est habituã©e ã  vivre seule.
44,he is a lazy student .,train,c'est un ã©tudiant paresseux.
45,he is good for nothing .,train,c'est un bon ã  rien.
46,she is just a wallflower .,train,elle est juste dã©corative.
47,he is at his office .,train,il est ã  son bureau.
48,he is much older than he looks .,train,il est bien plus vieux qu'il n'en a l'air.
49,he is listening to the news on the radio .,train,il ã©coute les nouvelles ã  la radio.
50,you are crazy .,train,tu es fou.
51,he is studying history at the university .,train,il ã©tudie l'histoire ã  l'universitã©.
52,she is just a child .,train,elle n'est qu'une enfant.
53,she is interested in music .,train,elle s'intã©resse ã  la musique.
54,you are a good person .,train,t'es un chic type.
55,i am short of money .,train,je manque d'argent.
56,i am sorry that i have n't written to you in such a long time .,train,je suis dã©solã© de ne pas vous avoir ã©crit pendant aussi longtemps.
57,you are very smart .,train,vous ãªtes trã¨s sages.
58,i am in the habit of taking a walk every day .,train,j'ai pour habitude d'effectuer une promenade chaque jour.
59,he is on the team .,train,il fait partie de l'ã©quipe.
60,he is close to sixty .,train,il a prã¨s de soixante ans.
61,he is scheduled to come up to tokyo tomorrow .,train,il a prã©vu de monter ã  tokyo demain.
62,you are mistaken about that .,train,vous faites erreur ã  ce propos.
63,i am cold .,train,j'ai froid.
64,i am going in the same direction . come with me . i will take you there .,train,je vais dans la mãªme direction. viens avec moi. je t'y emmã¨nerai.
65,she is bad-mannered .,train,elle est mal ã©levã©e.
66,he is not always late .,train,il n'est pas toujours en retard.
67,they are all my personal belongings .,train,ce sont toutes mes affaires personnelles.
68,i am not going anywhere .,train,je ne me rends nulle part.
69,we are classmates .,train,nous sommes camarades de classe.
70,they are the same age .,train,ils ont le mãªme ã¢ge.
71,you are n't welcome in this house .,train,tu n'es pas la bienvenue dans cette maison.
72,i am sure that he will become a great singer .,train,je suis sã»re qu'il deviendra un grand chanteur.
73,she is always free in the afternoon .,train,elle est toujours libre l'aprã¨s-midi.
74,we are his children .,train,nous sommes ses enfants.
75,you are not a doctor .,train,vous nâ€™ãªtes pas un mã©decin.
76,he is always laughing .,train,il est toujours en train de rire.
77,they are christians .,train,ils sont chrã©tiens.
78,i am afraid he will make a mistake .,train,je crains qu'il ne commette une erreur.
79,he is not going to get ahead .,train,il ne va pas progresser.
80,i am sorry that i have n't written to you in such a long time .,train,je suis dã©solã©e de ne pas vous avoir ã©crit pendant aussi longtemps.
81,i am in the classroom .,train,je suis en salle de classe.
82,"you are tired , are n't you ?",train,"vous ãªtes fatiguã©s, pas vraiâ€¯?"
83,he is always neatly dressed .,train,il est toujours soigneusement vãªtu.
84,he is apt to forget people 's name .,train,il est capable d'oublier le nom des gens.
85,she is always complaining of her small salary .,train,elle se plaint sans arrãªt de son faible salaire.
86,i am working on my new book .,train,je travaille ã  mon nouveau livre.
87,i am not from india .,train,je ne viens pas d'inde.
88,i am convinced that things will change for the better .,train,je suis convaincu que les choses vont changer pour le mieux.
89,he is deeply attached to her .,train,il lui est trã¨s attachã©.
90,i am learning two foreign languages .,train,j'apprends deux langues ã©trangã¨res.
91,she is buying books in the bookstore .,train,elle est en train d'acheter des livres ã  la librairie.
92,he is not the man that he used to be .,train,il n'est plus le mãªme homme.
93,you are the only one who can help me .,train,vous ãªtes la seule qui puisse m'aider.
94,he is a big prankster .,train,c'est un grand farceur.
95,he is a bad boy .,train,c'est un mauvais garã§on.
96,you are as white as a sheet .,train,tu es blanc comme un cachet d'aspirine.
97,he is an archeologist 's assistant .,train,c'est un assistant en archã©ologie.
98,i am looking forward to hearing from you soon .,train,j'ai hã¢te d'avoir de tes nouvelles.
99,he is cranky .,train,il est excentrique.
100,he is very brave .,train,il est trã¨s courageux.
101,you are so stupid .,train,vous ãªtes tellement idiot !
102,he is over 80 kilos .,train,il fait plus de 80 kilos.
103,he is going to stay with his uncle for the weekend .,train,il va rester avec son oncle pour le weekend.
104,he is mad about music .,train,c'est un fou de musique.
105,i am off today .,train,"je ne suis pas en service, aujourd'hui."
106,she is no longer the cheerful woman she once was .,train,elle n'est plus la femme enjouã©e qu'elle fut auparavant.
107,he is a bank clerk .,train,il est employã© de banque.
108,you are completely wrong .,train,tu as complã¨tement tort.
109,i am going to go to america next year .,train,je vais aller en amã©rique l'annã©e prochaine.
110,you are n't welcome in this house .,train,vous n'ãªtes pas les bienvenus dans cette maison.
111,he is madly in love with that girl .,train,il est follement amoureux de cette fille.
112,you are always doubting my word .,train,tu doutes toujours de ma parole.
113,you are under arrest .,train,vous ãªtes en ã©tat d'arrestation.
114,he is no friend of mine .,train,il ne compte pas au nombre de mes amis.
115,he is planning to launch his business .,train,il projette de lancer son entreprise.
116,he is beyond hope .,train,c'est un cas sans espoir.
117,she is more wise than clever .,train,elle est plus sage qu'intelligente.
118,she is living abroad .,train,elle vit actuellement ã  l'ã©tranger.
119,you are the chosen one .,train,vous ãªtes l'ã©lu.
120,i am sure that he is an honest man .,train,je suis sã»r que c'est un homme honnãªte.
121,you are incredibly naive .,train,tu es incroyablement naã¯f.
122,they are exhausted .,train,ils sont extã©nuã©s.
123,she is wearing a white dress today .,train,elle porte une robe blanche aujourd'hui.
124,i am beginning to understand .,train,je commence ã  comprendre.
125,we are having a good time .,train,nous passons un bon moment.
126,she is trying to prove the existence of ghosts .,train,elle tente de prouver l'existence des fantã´mes.
127,he is a dentist by profession .,train,il est dentiste de profession.
128,he is the last man that i want to talk with .,train,c'est bien la derniã¨re personne ã  qui j'ai envie de parler.
129,he is a teacher and novelist .,train,il est professeur et romancier.
130,he is generous with his money .,train,il est gã©nã©reux avec son argent.
131,we are working in the interest of peace .,train,nous travaillons pour la paix.
132,we are faced with a host of problems .,train,nous sommes confrontã©s ã  un tas de problã¨mes.
133,you are absolutely right .,train,tu as parfaitement raison.
134,he is studying in the library now .,train,il ã©tudie ã  la bibliothã¨que maintenant.
135,he is walking now .,train,il est actuellement en train de marcher.
136,i am going to stay here for a couple of days .,train,je vais rester ici quelques jours.
137,they are n't alone .,train,ils ne sont pas seuls.
138,he is studying hard so that he can pass the examinations .,train,il ã©tudie dur pour passer les examens.
139,i am not studying now .,train,en ce moment je n'ã©tudie pas.
140,he is not interested in art at all .,train,il ne porte aucun intã©rãªt ã  l'art.
141,i am given a monthly allowance of fifty thousand yen .,train,je reã§ois une allocation mensuelle de cinquante mille yens.
142,i am going to write a letter tomorrow .,train,je vais ã©crire une lettre demain.
143,she is good at making up interesting stories .,train,elle est forte pour inventer des histoires intã©ressantes.
144,i am no longer a child .,train,je ne suis plus un enfant.
145,he is an honest man .,train,c'est un homme honnãªte.
146,i am acquainted with the custom .,train,j'ai connaissance de cette coutume.
147,she is an obstinate girl .,train,c'est une fille obstinã©e.
148,they are exhausted .,train,elles sont extã©nuã©es.
149,she is a second year student .,train,c'est une ã©lã¨ve de deuxiã¨me annã©e.
150,he is still sitting on the bench .,train,il est toujours assis sur le banc.
151,he is a mathematical genius .,train,c'est un gã©nie des mathã©matiques.
152,i am quite all right now .,train,je vais tout ã  fait bien maintenant.
153,he is one of the american presidential candidates .,train,il est l'un des candidats aux prã©sidentielles ã©tatsuniennes.
154,he is not kind to her .,train,il n'est pas gentil ã  son ã©gard.
155,he is accustomed to working hard .,train,il a l'habitude de travailler dur.
156,he is to blame for the failure .,train,il est responsable de l'ã©chec.
157,he is well spoken of by everybody .,train,tout le monde parle de lui en bien.
158,we are sorry we are unable to accept your request .,train,"nous sommes dã©solã©s, nous ne sommes pas en mesure d'accepter votre demande."
159,i am studying now .,train,je suis en train d'ã©tudier.
160,i am in favor of the proposition .,train,je suis d'accord avec cette proposition.
161,he is as clever as any of his classmates .,train,il est aussi intelligent que n'importe lequel de ses camarades.
162,i am accustomed to living alone .,train,je suis habituã© ã  vivre seul.
163,i am very grateful to you for your advice .,train,je te suis trã¨s reconnaissant pour ton conseil.
164,he is a famous composer .,train,c'est un cã©lã¨bre compositeur.
165,she is active .,train,elle est active.
166,you are not a child any more .,train,tu n'es plus un enfant.
167,she is really in good health .,train,elle se porte fort bien.
168,he is bigger than all the other boys .,train,il est plus grand que tous les autres garã§ons.
169,he is no longer living here .,train,il n'habite plus ici.
170,you are very rich .,train,vous ãªtes fort riche.
171,you are too late .,train,vous arrivez trop tard.
172,she is walking .,train,elle marche.
173,he is a thief .,train,c'est un voleur.
174,i am better than you .,train,je suis meilleur que toi.
175,he is likely to win the game .,train,il a des chances de remporter le jeu.
176,he is usually straightforward and sincere and thereby gains the confidence of those who meet him .,train,il est d'ordinaire direct et sincã¨re et gagne ainsi la confiance de ceux qui le rencontrent.
177,we are a family .,train,nous sommes une famille.
178,i am going to play soccer after school .,train,je vais jouer au foot aprã¨s l'ã©cole.
179,i am well acquainted with him .,train,je le connais bien.
180,he is without doubt the most successful movie director in the world .,train,il est sans aucun doute le metteur en scã¨ne de films le plus apprã©ciã© dans le monde.
181,you are lying .,train,vous mentez.
182,"i am a student , but he is n't .",train,"je suis ã©tudiant, mais lui, non."
183,he is very mean to me .,train,il est trã¨s mã©chant avec moi.
184,i am not a teacher .,train,je ne suis pas un enseignant.
185,she is my daughter .,train,c'est ma fille.
186,he is much better than me at the high jump .,train,il est bien meilleur que moi au saut en hauteur.
187,i am very tall .,train,je suis trã¨s grande.
188,he is good at singing .,train,il est bon chanteur.
189,i am an electrician .,train,je suis un ã©lectricien.
190,i am in deep water .,train,je suis en grande difficultã©.
191,he is as smart as any other boy in the class .,train,il est aussi intelligent que n'importe quel autre garã§on de la classe.
192,you are deceiving yourself .,train,tu te leurres.
193,he is wearing a hat .,train,il porte un chapeau.
194,he is blind in one eye .,train,il ne voit pas d'un å“il.
195,i am at the end of my patience .,train,ma patience est ã  bout.
196,we are having trouble with our new neighbor .,train,nous avons des problã¨mes avec notre nouveau voisin.
197,he is digging his own grave .,train,il creuse sa propre tombe.
198,he is supposed to be at home today .,train,il est censã© ãªtre chez lui aujourd'hui.
199,he is poor .,train,il est pauvre.
200,i am tired of homework .,train,je suis fatiguã©e des devoirs.
